code,airline,belongs
AZ,Alitalia|意大利航空,意大利
B2,Belavia|白俄罗斯航空,白俄罗斯
B3,Bellview Airlines|贝尔韦尤航空公司,尼日利亚
B4,B.A.C.H. Flugbetriebs 德国
B5,Amadeus Flugdienst,德国
B6,Jetblue Airways|捷蓝航空,美国
B7,Uni Airways|立荣航空,台湾
B8,Eritrean Airlines|厄立特里亚航空,厄立特里亚
B9,Iran Air Tours|伊朗陆游航空公司,伊朗
BA,British Airways|英国航空,英国
BB,Seaborne Airlines|海运航空,美国
BC,Skymark Airlines|天马航空,日本
BD,Bmi british midland|英伦航空,英国
BE,FlyBE|欧洲泽西岛航空, 英国
BF,Bluebird Cargo|蓝鸟货运航空公司,冰岛
BG,Biman Bangladesh Airlines|孟加拉国家航空,孟加拉
BH,Hawkair Aviation|鹰空航空服务,加拿大
BI,Royal Brunei Airlines|文莱皇家航空,文莱
BJ,Nouvelair Tunisia,突尼斯
BK,Okay Airways|奥凯航空,中华人民共和国
BL,Pacific Airlines|越南太平洋航空,越南
BM,Bayu Indonesia Air,印度尼西亚
BN,Forward Air International Airlines, 美国
BO,印度尼西亚波拉克航空,印度尼西亚
BP,Air Botswana|博茨瓦纳航空,博茨瓦纳
BQ,多米尼加航空,多米尼加共和国
BR,EVA Airways|长荣航空,中华民国
BS,British International|英国国际直升机公司, 英国
BT,Air Baltic|波罗的海航空,拉托维亚
BV,Blue Panorama Airlines,意大利
BW,Bwia West Indies|英国西印度航空公司,特立尼达和多巴哥
BX,Coast Air Ks|海岸航空,挪威
BY,Thomsonfly|汤姆森航空,英国
BZ,Keystone Air Service|冠石航空,加拿大
C0,Centralwings|中央之翼,波兰
C3,Independent Carrier,
C4,Zimex Aviation Limited,
C5,Champlain Enterprises,
C6,Canjet Airlines,加拿大
C7,Rico Linhas Aereas,巴西
C9,Cirrus Airlines,德国
CA,Air China,中国国际航空公司,中国
CB,ScotAirways,英国
CC,Air Atlanta Icelandic|冰岛亚特兰大航空,冰岛
CD,Alliance Air|印度联盟航空,印度
CE,Nationwide Airlines|国家航空,南非
CF,City Airline|城市航空,瑞典
CG,Airline of Papua N G|巴布亚新几内亚航空,巴布亚新几内亚
CH,Bemidji Aviation|伯米吉航空,美国明尼苏达州
CI,China Airlines|中华航空, 台湾
CJ,中国北方航空公司,中华人民共和国
CK,China Cargo|中国货运航空公司,中华人民共和国
CL,Lufthansa CityLine|汉莎城市航空,德国
CM,COPA,巴拿马
CN,Westward Airways,
CO,Continental Airlines|美国大陆航空,美国
